PoolID,TreeID,Type,Long,Lat,Date,Week,pH,DO,Depth,Length,Height,Width,Water_Sample_Num,Field_Volume,Cabe_Volume,Dt_Tadpole_Num,New_Tads,Consp_Tad_Num,Predators_Y_N,Metamorphs
1,F,Palm,4.04737,52.67431,26/2,5,5.22,NA,3,168,0,15,271,1,21,2,0,0,N,0
1,G,Palm,4.04572,52.67818,1/2,1,6.12,3.38,4,138,0,13,36,4,24,10,10,0,,2
1,G,Palm,4.04572,52.67818,8/2,2,NA,NA,4,138,0,13,NA,NA,NA,NA,0,NA,NA,NA
1,G,Palm,4.04572,52.67818,15/2,3,5.96,NA,4,138,0,13,184,6,24,1,1,0,N,0
1,G,Palm,4.04572,52.67818,23/2,4,5.91,NA,4,138,0,13,239,1,38,0,,,,
1,H,Tree_Hole,4.04665,52.67616,1/2,1,6.85,2.2,7,9,90,6.5,40,3,15,1,0,0,N,0
1,H,Tree_Hole,4.04665,52.67616,8/2,2,6.58,1.67,7,9,90,6.5,120,1,11,1,0,0,N,0
1,H,Tree_Hole,4.04665,52.67616,15/2,3,6.41,NA,7,9,90,6.5,120,,,1,0,0,N,0
1,H,Tree_Hole,4.04665,52.67616,23/7,4,6.46,NA,7,9,90,6.5,240,8,17,1,0,0,N,0
1,I,Fallen_Tree,4.0472,52.67598,1/2,1,6.51,2.6,7,19,75,7.5,41,4,15,2,2,0,,0
1,I,Fallen_Tree,4.0472,52.67598,8/2,2,NA,NA,7,19,75,7.5,NA,NA,NA,1,0,0,N,0
1,I,Fallen_Tree,4.0472,52.67598,15/2,3,6.35,NA,7,19,75,7.5,187,,,1,0,0,N,0
1,I,Fallen_Tree,4.0472,52.67598,23/2,4,6.62,NA,7,19,75,7.5,241,1,34,1,0,0,N,0
1,J,Waka_Pool,4.04784,52.67517,1/2,1,5.07,1.68,11,11,130,4,45,4,21,0,0,3,,0
1,J,Waka_Pool,4.04784,52.67517,8/2,2,3.94,4.77,11,11,130,4,116,4,21,0,0,0,N,0
1,J,Waka_Pool,4.04784,52.67517,15/2,3,3.84,NA,11,11,130,4,190,,,0,0,0,N,0
1,J,Waka_Pool,4.04784,52.67517,23/2,4,3.65,NA,11,11,130,4,248,6,20,0,0,0,N,0
1,K,Waka_Pool,4.04705,52.67465,1/2,1,4.27,1.25,11,14,11,2,50,2,13,0,0,0,,0
1,K,Waka_Pool,4.04705,52.67465,8/2,2,4.1,3.48,11,14,11,2,117,4,16,0,0,5,Y,0
1,K,Waka_Pool,4.04705,52.67465,15/2,3,5.34,NA,11,14,11,2,192,,,0,0,10,N,0
1,K,Waka_Pool,4.04705,52.67465,23/2,4,4.86,NA,11,14,11,2,249,1,11,0,0,20,N,0
2,K,Waka_Pool,4.04705,52.67465,1/2,1,3.56,1.36,10,14,3.5,5.5,49,2,20,0,0,0,,0
2,K,Waka_Pool,4.04705,52.67465,8/2,2,3.76,1.14,10,14,3.5,5.5,118,3,21,0,0,2,N,0
2,K,Waka_Pool,4.04705,52.67465,15/2,3,5.55,NA,10,14,3.5,5.5,193,,,0,0,10,N,0
2,K,Waka_Pool,4.04705,52.67465,23/2,4,3.44,NA,10,14,3.5,5.5,250,2,14,0,0,10,N,0
1,L,Waka_Pool,4.04722,52.67415,1/2,1,3.44,3.6,12,11,123,6,51,4,24,0,0,0,,0
1,L,Waka_Pool,4.04722,52.67415,8/2,2,4.15,1.75,12,11,123,6,119,4,19,0,0,0,N,0
1,L,Waka_Pool,4.04722,52.67415,15/2,3,4.05,NA,12,11,123,6,194,,,0,0,0,N,0
1,L,Waka_Pool,4.04722,52.67415,23/2,4,3.15,NA,12,11,123,6,251,6,20,0,0,0,Y,0
1,M,Waka_Pool,4.04786,52.67509,2/2,1,2.63,3.21,12,9.5,75,4,58,5,20,0,0,0,,0
1,M,Waka_Pool,4.04786,52.67509,8/2,2,2.87,2.38,12,9.5,75,4,114,3,19,0,0,0,N,0
1,M,Waka_Pool,4.04786,52.67509,15/2,3,2.4,NA,12,9.5,75,4,188,,,0,0,0,Y,0
1,M,Waka_Pool,4.04786,52.67509,23/2,4,2.29,NA,12,9.5,75,4,242,6,26,0,0,0,Y,0
2,M,Waka_Pool,4.04786,52.67509,2/2,1,3.34,2.5,10.5,22,59,5,59,5,20,0,0,0,,0
2,M,Waka_Pool,4.04786,52.67509,8/2,2,3,2.57,10.5,22,59,5,115,2.5,20,0,0,0,N,0
2,M,Waka_Pool,4.04786,52.67509,15/2,3,2.8,NA,10.5,22,59,5,189,,,0,0,0,N,0
2,M,Waka_Pool,4.04786,52.67509,23/2,4,2.68,NA,10.5,22,59,5,243,4,16,0,0,10,N,0
1,N,Waka_Pool,4.04775,52.67463,3/2,1,4.71,4.5,12,2,43,10,63,6,19,0,0,0,,0
1,N,Waka_Pool,4.04775,52.67463,10/2,2,6.62,2.68,12,2,43,10,142,4,30,0,0,0,N,0
1,N,Waka_Pool,4.04775,52.67463,17/2,3,5.45,NA,12,2,43,10,208,5,40,0,0,0,N,0
1,N,Waka_Pool,4.04775,52.67463,29/2,4,5.82,NA,12,2,43,10,259,7,35,0,0,0,N,0
1,O,Waka_Pool,4.0477,52.67458,3/2,1,5.63,0.49,10,13,73,7,64,1,11,0,0,0,,0
1,O,Waka_Pool,4.0477,52.67458,10/2,2,5.2,1.02,10,13,73,7,145,NA,1,0,0,0,N,0
1,O,Waka_Pool,4.0477,52.67458,17/2,3,5.29,NA,10,13,73,7,211,3,34,0,0,0,N,0
1,O,Waka_Pool,4.0477,52.67458,24/2,4,5.4,NA,10,13,73,7,260,4,15,0,0,0,N,0
1,P,Waka_Pool,4.04774,52.67384,3/2,1,5.99,1.05,27,10,13,5,65,4,NA,0,0,0,,0
1,P,Waka_Pool,4.04774,52.67384,10/2,2,5.25,0.9,27,10,13,5,146,1,20,0,0,0,N,0
1,P,Waka_Pool,4.04774,52.67384,17/2,3,5.07,NA,27,10,13,5,212,4,24,0,0,0,N,0
1,P,Waka_Pool,4.04774,52.67384,24/2,4,4.76,NA,27,10,13,5,261,2,16,0,0,0,N,0
1,Q,Waka_Pool,4.04785,52.67482,3/2,1,4.83,5.46,23,10.5,72,5,67,5,20,0,0,15,,0
1,Q,Waka_Pool,4.04785,52.67482,10/2,2,4.95,2.4,23,10.5,72,5,143,6,52,0,0,10,N,0
1,Q,Waka_Pool,4.04785,52.67482,17/2,3,4.9,NA,23,10.5,72,5,206,6,36,0,0,10,Y,0
1,Q,Waka_Pool,4.04785,52.67482,24/2,4,5.76,NA,23,10.5,72,5,257,4,15,0,0,0,N,0
2,Q,Waka_Pool,4.04785,52.67482,3/2,1,3.65,1.53,14,17,34,5,68,3,20,0,0,0,,0
2,Q,Waka_Pool,4.04785,52.67482,10/2,2,3.23,2.4,14,17,34,5,144,6,52,0,0,0,N,0
2,Q,Waka_Pool,4.04785,52.67482,17/2,3,3.42,NA,14,17,34,5,207,6,44,0,0,0,N,0
2,Q,Waka_Pool,4.04785,52.67482,24/2,4,3.38,NA,14,17,34,5,258,6,20,0,0,0,N,
1,R,Waka_Pool,4.04796,52.67466,3/2,1,3.2,1.7,21,4,48,7,69,3,19,0,0,0,,0
1,R,Waka_Pool,4.04796,52.67466,10/2,2,3.1,6.45,21,4,48,7,141,6,18,0,0,0,N,0
1,R,Waka_Pool,4.04796,52.67466,17/2,3,4.01,NA,21,4,48,7,205,4,24,0,0,0,N,0
1,R,Waka_Pool,4.04796,52.67466,24/2,4,3.91,NA,21,4,48,7,254,6,14,0,0,0,Y,0
1,S,Palm,4.04674,52.67629,4/2,1,6.14,2.65,6,141,0,22,81,5,20,20,20,0,,1
1,S,Palm,4.04674,52.67629,11/2,2,5.65,6.39,6,141,0,22,152,6,30,20,20,0,Y,0
1,S,Palm,4.04674,52.67629,17/2,3,5.88,NA,6,141,0,22,199,6,60,7,1,0,Y,0
1,S,Palm,4.04674,52.67629,24/2,4,5.84,NA,6,141,0,22,255,4,23,8,0,0,Y,0
1,T,Palm,4.04674,52.67629,4/2,1,NA,NA,3,12,0,32,87,5,NA,1,1,0,,0
1,T,Palm,4.04674,52.67629,11/2,2,6.58,NA,3,12,0,32,162,,,1,1,0,N,0
1,T,Palm,4.04674,52.67629,17/2,3,6.21,NA,3,12,0,32,202,6,38,2,1,0,N,0
1,T,Palm,4.04674,52.67629,24/2,4,6.4,NA,3,12,0,32,254,4,NA,0,0,0,N,0
1,U,Tree_Hole,4.04401,52.67694,13/2,1,6.04,NA,9.5,8,45,7,182,,,1,1,0,N,0
1,U,Tree_Hole,4.04401,52.67694,20/2,2,5.57,NA,9.5,8,45,7,224,,,2,1,0,N,0
1,U,Tree_Hole,4.04401,52.67694,26/2,3,5.22,NA,9.5,8,45,7,263,8,22,1,0,0,N,0
1,V,Buttress,4.0455,52.67764,7/2,1,6.55,1.7,45,60,25,9,111,6,20,15,15,10,Y,0
1,V,Buttress,4.0455,52.67764,13/2,2,6.17,NA,45,60,25,9,176,,,10,0,10,Y,0
1,V,Buttress,4.0455,52.67764,20/2,3,5.7,NA,45,60,25,9,226,,,10,2,10,Y,0
1,V,Buttress,4.0455,52.67764,26/2,4,6.3,NA,45,60,25,9,264,8,28,10,0,15,Y,0
17.1,FP,Andrius,,,9/2,1,5.5,2.8,NA,NA,790,NA,126,6,60,10,0,0,N,0
15.1,FP,Andrius,,,10/2,1,4.2,6.97,NA,NA,990,NA,132,4,30,20,NA,NA,N,0
28.1,FP,Andrius,,,10/2,1,7.98,4.11,NA,NA,1210,NA,138,4,60,30,NA,NA,NA,NA
34.1,FP,Andrius,4.04722,52.67341,11/2,1,7.88,NA,NA,NA,1250,NA,159,,,10,NA,0,N,0
34.2,FP,Andrius,4.04722,52.67341,11/2,1,7.43,5.67,NA,NA,1500,NA,158,,,0,NA,0,N,0
32.1,FP,Andrius,4.04771,52.67643,22/2,1,5.35,NA,NA,NA,780,NA,245,0,0,0,0,0,N,0
47.1,FP,Andrius,4.03892,52.67789,22/2,1,7.43,NA,NA,NA,2040,NA,246,0,0,0,0,0,N,2
90.1,FP,Andrius,4.0384,52.67781,22/2,1,8.01,NA,250,41,1915,38,247,0,0,0,0,0,N,0
